CITY,COUNTRY NAME,COUNTRY CODE,HOSTING YR,SUMMER OR WINTER,GDP 2YR BEFORE,GDP HOST YEAR,GDP 2YR AFTER
SEOUL,SOUTH KOREA,KOR,1988,S,11.3272612,11.98771556,9.877552502
CALGARY,CANADA,CAN,1988,W,2.144972053,4.410110978,0.164672536
ALBERTVILLE,FRANCE,FRA,1992,W,2.923935137,1.59934269,2.358342207
BARCELONA,SPAIN,ESP,1992,S,3.781393458,0.929215431,2.383195307
LILLIEHAMMER,NORWAY,NOR,1994,W,3.574395539,5.055427388,5.027947172
ATLANTA,UNITED STATES OF AMERICA,USA,1996,S,4.028839064,3.772501319,4.481407555
NAGANO,JAPAN,JPN,1998,W,3.099999291,-1.128409829,2.779632825
SYDNEY,AUSTRALIA,AUS,2000,S,4.576693783,3.933097026,4.001377032
SALT LAKE CITY,UNITED STATES OF AMERICA,USA,2002,W,4.127484014,1.74169525,3.798891127
ATHENS,GREECE,GRC,2004,S,3.922871813,5.06099261,5.652433669
TURIN,ITALY,ITA,2006,W,1.423594158,1.790639681,-0.962012841
BEJING,CHINA,CHN,2008,S,12.71947902,9.654289373,10.63614046
VANCOUVER,CANADA,CAN,2010,W,1.007622678,3.089494644,1.76222255
LONDON,ENGLAND,GBR,2012,S,1.949521482,1.478923947,2.607475906
SOCHI,RUSSIA,RUS,2014,W,4.024086157,0.736267221,0.193690072
RIO,BRAZIL,BRA,2016,S,0.50395574,-3.275916908,1.317223999
